Control ID,Risks Addressed,Control Objective,Control Description,Type (P/D/C),Nature (Manual/Automated),Control Owner,Evidence Produced,Testing Frequency,Test Procedure,Framework Mapping
CTL-11,R-05; R-13,Keep every LLM summary statement traceable to its source document,The Summarization Assistant attaches a source document and page or field location to every figure and factual statement. The Workbench shows a link to the source and flags any statement without a valid citation. A monthly sample is checked for citation validity (98 percent proposed as a starting value). A month below the threshold disables LLM summarization through the feature flag pending review,Detective,Automated,Head of Credit Risk Analytics,Citation check logs; monthly sample audit results; feature flag change records,Semi-annual,Internal Audit draws 50 summaries from one month and verifies each citation points to the stated source location; confirms any month below 98 percent led to a feature flag action or a documented decision,NIST MEASURE 2.5; MEASURE 2.8 | ISO 42001 Annex A.6 (verification and validation); Annex A.8 | EU AI Act Art. 13; Art. 15 (benchmark) | GenAI Profile risk: Confabulation
CTL-12,R-02; R-06,Detect score and input instability before outcome data is available,An automated monthly report calculates Population Stability Index on the score and the top 10 features and tracks score distribution and review path mix by segment as early indicators. PSI of 0.10 is a watch level and 0.25 is an investigation level (common industry conventions used as starting values). Two consecutive months above 0.25 open a model review and notify Model Risk Management,Detective,Automated,Head of Credit Risk Analytics,Monthly monitoring report; alert and disposition log; model review records,Quarterly,Internal Audit recomputes PSI for one month from raw data and agrees it to the report; confirms each threshold breach has a logged disposition,NIST MEASURE 2.4; MANAGE 4.1 | ISO 42001 Cl. 9.1; Annex A.6 | EU AI Act Art. 72 (benchmark) | OSFI E-23 ongoing monitoring (confirm scope)
CTL-13,R-06; R-14,Retrain or redevelop only through a controlled and re-validated path,Retraining triggers are documented before deployment: a PSI breach; a fairness threshold breach; a backtest breach; and the scheduled annual review. Any retrain is a material change that needs re-validation by Model Risk Management and a fresh fairness test (CTL-02) before release. Each retrain is also assessed for feedback loop effects because future training data will include outcomes that Beacon influenced,Preventive,Manual,Head of Credit Risk Analytics,Retraining trigger register; change tickets; re-validation reports; fairness re-test results,Annual and at each retrain,Internal Audit traces every model version released in the period to a change ticket; a re-validation report and a fairness re-test all dated before release,NIST MANAGE 4.1; MEASURE 2.4; GOVERN 1.4 | ISO 42001 Cl. 8.1; Cl. 10 | EU AI Act Art. 9; Art. 17 (benchmark) | OSFI E-23 model change and redevelopment (confirm scope)
CTL-14,R-04,Make oversight demonstrable with a complete and tamper-evident decision record,For every file the Workbench records the model and prompt versions; the recommendation shown; the time it was displayed; the adjudicator decision; any rationale; and any escalation. The log is append-only and access controlled. A daily reconciliation compares files completed in the loan origination system with records in the log and any gap is investigated within 2 business days. Capture must be live before pilot (OI-06),Detective,Automated,Director; Credit Analytics Engineering,Log schema and access records; daily reconciliation reports; exception tickets,Quarterly,Internal Audit picks 25 completed files and confirms each has a complete log record; tests that log entries cannot be edited or deleted by Workbench users or engineers without a separate approved change,NIST MAP 3.5; GOVERN 3.2 | ISO 42001 Annex A.6 (operation and monitoring) | EU AI Act Art. 12; Art. 14 (benchmark) | OSFI B-13 logging expectations (confirm scope and status)
CTL-15,R-04,Prevent oversight from failing under workload pressure or when logging fails,Weekly reporting tracks median review time per file and queue backlog by team against the pre-pilot baseline. If the capture rate falls below 98 percent in a week or logging is unavailable for more than 24 hours the Workbench suspends the Recommend Decline display and notifies the AI Governance Office automatically. The display returns only after capture is restored and confirmed,Corrective,Automated,Head of Credit Adjudication,Weekly capacity report; suspension event log; notification records,Semi-annual,Internal Audit simulates a logging outage in a test environment and confirms the Recommend Decline display is suspended and the AI Governance Office is notified within the stated time,NIST MAP 3.5; GOVERN 3.2; MANAGE 2.4 | ISO 42001 Annex A.9; Cl. 8.1 | EU AI Act Art. 12; Art. 14 (benchmark)
CTL-16,R-07,Ensure the LLM vendor cannot keep or reuse Northstar data,Before pilot the vendor contract includes zero retention of prompts and outputs (or a Privacy-approved and documented exception); a prohibition on using Northstar data for training or evaluation; deletion with a certificate at exit; and Canadian-region processing. Northstar verifies the terms in operation through a configuration check at go-live and an annual vendor attestation or audit,Preventive,Manual,Chief Privacy Officer,Executed contract and addendum; configuration verification record; annual attestation or audit report,Annual,Internal Audit agrees each required term to the executed contract; inspects the tenancy configuration record; and confirms the latest vendor attestation is dated within 12 months,NIST MANAGE 3.1; MEASURE 2.10 | ISO 42001 Annex A.10; Annex A.7 | EU AI Act Art. 25 (benchmark) | PIPEDA accountability and safeguards principles for third-party processing (Legal to confirm) | Law 25 (Quebec applicants excluded from pilot)
CTL-17,R-07; R-08,Send and keep only the personal information Beacon needs,A pre-processing step sends the LLM only the documents and fields needed and masks identifiers such as SIN and full account numbers before sending. A scheduled scan of prompt logs looks for unmasked identifiers weekly in pilot and monthly after. Retention and deletion rules for scores; reason codes; prompts and summaries are set with Privacy (7 years assumed for scores and reason codes pending Privacy confirmation) and enforced by an automated deletion job,Preventive,Automated,Chief Privacy Officer,Masking rule specification; log scan reports; deletion job logs; retention schedule approved by Privacy,Quarterly,Internal Audit submits five test files seeded with dummy identifiers and confirms they are masked in the vendor prompt; reviews one scan report; checks deletion job logs against the retention schedule,NIST MEASURE 2.10; MANAGE 3.1 | ISO 42001 Annex A.7 | EU AI Act Art. 10 (benchmark) | PIPEDA limiting use; retention and safeguards principles (Legal to confirm) | Law 25 destruction of information (Legal to confirm)
CTL-18,R-08,Confirm every use of personal information has a lawful basis and a defined purpose,The Privacy Office completes a Privacy Impact Assessment before build freeze covering training data; inference data; adjudicator notes and LLM processing. Every Beacon data element gets a documented purpose and lawful basis. Legal decides whether consent wording and applicant notice must change (OI-01; OI-09). High-rated PIA findings must be closed before the approval gate. Quebec applicants stay excluded until the Law 25 review is complete,Preventive,Manual,Chief Privacy Officer,Signed PIA; data element register with purpose and lawful basis; Legal memo on consent and notice; gate minutes,At each lifecycle gate and annually,Internal Audit samples 20 data elements from the model feature list and the prompts and traces each to the register; confirms no high-rated finding was open at the gate decision date,NIST GOVERN 1.1; MAP 4.1; MEASURE 2.10 | ISO 42001 Cl. 4.2; Annex A.7 | EU AI Act Art. 10(2) (benchmark) | PIPEDA consent and limiting-use principles (Legal to confirm) | Law 25 privacy impact assessment duty for Quebec (Legal to confirm)
CTL-28,R-08; R-12,Answer individuals' requests and complaints about Beacon properly and use them as an early warning signal,The Privacy Office and the Complaints team set a procedure for access requests; challenges to a decision and complaints that involve Beacon. Scores; reason codes; summaries and adjudicator rationales can be retrieved by application ID so a request can be answered within the response period (30 days under PIPEDA; Legal to confirm). Complaints alleging discrimination or unconsented AI use are tagged to Beacon; notified to the Chief Privacy Officer and Legal within 2 business days and reported monthly to the AI Governance Office. Legal confirms what must be disclosed (OI-09),Corrective,Manual,Chief Privacy Officer,Procedure; request and complaint log with response dates; monthly Beacon complaint report; Legal memo on disclosure scope,Annual,Internal Audit retrieves the Beacon records for five sample application IDs and confirms they can be produced within the response period; samples 10 requests and confirms response dates; confirms complaints alleging discrimination or unconsented AI use were notified within 2 business days,NIST GOVERN 5.1; MAP 5.2 | ISO 42001 Annex A.8 | EU AI Act Art. 86 (benchmark) | PIPEDA individual access and challenging compliance principles (Legal to confirm) | Law 25 access and rectification rights (Legal to confirm)
CTL-29,R-12,Confirm alignment with model risk and supervisory expectations and decide on regulator engagement before pilot,Compliance and Model Risk Management assess Beacon against OSFI Guideline E-23 (Legal confirms scope and effective date) and record gaps with owners and dates. Before pilot approval the Executive Risk Committee records a decision on whether and how to engage OSFI and other regulators (OI-09). A regulatory change watch covers Canadian privacy; human rights and model risk developments and EU AI Act timing; each change is assessed within 60 days and any change still unassessed after 60 days is reported to the AI Governance Committee,Preventive,Manual,Chief Compliance Officer,E-23 alignment assessment with gap log; regulator engagement decision memo; regulatory change log,Annual and at each gate,Internal Audit confirms the alignment assessment exists and every gap has an owner and date; confirms the engagement decision memo is dated before the pilot approval; samples 5 changes from the log and confirms each was assessed within 60 days,NIST GOVERN 1.1; MAP 4.1 | ISO 42001 Cl. 4.2; Cl. 9.3 | EU AI Act Art. 17 (benchmark; verify application timelines) | OSFI E-23 (confirm scope and effective date) | OSFI B-10 and B-13 (confirm scope and status)
CTL-30,R-13,Measure summary accuracy against known answers before pilot and after every change,Credit Analytics builds a labelled test set of synthetic or de-identified (Privacy approves) pay stubs; bank statements and adjudicator notes with known facts and planted inconsistencies. Model Risk Management sets tolerances for factual error and omission rates before any test is run. The test set runs before pilot and after any change to the model; prompt or pipeline. Each week in pilot and each month after a second reviewer compares 30 live summaries (proposed starting value) with the source documents and logs every error. Any error that changed a decision disables LLM summarization through the feature flag,Detective,Manual,Head of Credit Risk Analytics,Test set and its documentation; tolerance approval record; test results against tolerances; weekly sample logs,Semi-annual,Internal Audit re-runs 20 test documents and agrees the error and omission rates to the report; confirms tolerances were approved before the first run; reviews three weekly sample logs and confirms errors were logged and escalated,NIST MEASURE 2.5; MEASURE 2.3 | ISO 42001 Annex A.6 | EU AI Act Art. 15 (benchmark) | GenAI Profile risk: Confabulation | OWASP LLM09 Misinformation (2025 edition)
CTL-31,R-14,Make sure every change to the model; thresholds; prompts or configuration is classified and approved before release,A change policy defines material; minor and configuration changes. Material changes include retrains; feature changes; score thresholds and path cut-offs; prompt edits; LLM capability settings (tool calling; write access; retrieval) and vendor model updates. Material changes need Model Risk Management re-validation and a fairness re-test (CTL-02) before release. Minor changes need model owner approval and notice to Model Risk Management. The person who builds a change cannot release it and the deployment pipeline enforces a second approver,Preventive,Manual,Director; Credit Analytics Engineering,Change policy; change tickets with classification and approvals; pipeline configuration showing the second approver rule,Quarterly,Internal Audit samples 15 production changes and confirms the classification; the approvals and (for material changes) the re-validation and fairness re-test are dated before release; confirms builder and releaser differ; tries to release a test change with one approver and confirms the pipeline blocks it,NIST MANAGE 4.1; GOVERN 1.4 | ISO 42001 Cl. 8.1; Annex A.6 | EU AI Act Art. 9; Art. 17 (benchmark) | OSFI E-23 model change expectations (confirm scope)
CTL-32,R-14,Detect any difference between what was approved and what is running,Model; prompt; threshold and configuration versions are hashed at approval and recorded in an approved version register. A daily automated job compares what is running in production with the register (including the pinned vendor model version). Any mismatch triggers rollback to the last approved version and a same-day incident with notice to Model Risk Management,Detective,Automated,Director; Credit Analytics Engineering,Approved version register; daily comparison logs; rollback and incident records,Semi-annual,Internal Audit changes a threshold in a test environment without approval and confirms the daily check flags it and that rollback and an incident follow; compares production versions with the register on a date of its choosing,NIST MANAGE 4.1; MEASURE 2.4 | ISO 42001 Cl. 8.1; Annex A.6 | EU AI Act Art. 12; Art. 17 (benchmark) | OSFI B-13 change management (confirm scope and status)
CTL-33,R-15,Route every warning signal to one place and make suspension decisions fast with clear authority,Alerts from fairness; drift; override; vendor canary; security and privacy monitoring (CTL-03; CTL-08; CTL-12; CTL-17; CTL-20; CTL-25) feed one AI incident intake queue owned by the AI Governance Office and every alert gets a logged disposition. The playbook (CTL-26) names who may suspend Beacon: the Chief Risk Officer or a delegate for any incident; and the Head of Credit Adjudication or the CISO alone for defined triggers (confirmed injection; artifact tampering; logging failure) with the Chief Risk Officer informed within 4 hours. Severity 1 or 2 incidents notify the AI Governance Office and Chief Risk Officer within 4 hours with a suspension decision within 24 hours. Each severity 1 or 2 incident has a post-incident review within 30 days with tracked actions and lessons are fed back into the risk register,Corrective,Manual,Chief Risk Officer,Alert and disposition log; incident tickets with timestamps; suspension authority matrix; post-incident review reports; action tracker,Annual,Internal Audit samples 20 alerts and confirms each has a disposition; measures time from alert to triage decision for high severity items against the 1 business day target; confirms each severity 1 or 2 incident had a review within 30 days and actions are closed or have approved dates; confirms the authority matrix is current and approved,NIST MANAGE 4.3; GOVERN 4.3; MANAGE 2.4 | ISO 42001 Cl. 10.2; Annex A.3 | EU AI Act Art. 73 (benchmark) | PIPEDA breach of security safeguards reporting (Legal to confirm)
CTL-34,R-16,Keep the manual process able to run without Beacon,Twice a year Credit Adjudication runs a fallback drill in which selected teams process a normal day's volume for one day with Beacon output switched off using the runbook in CTL-21. Throughput; decision quality and staffing are measured against normal capacity. Below 70 percent of normal throughput triggers a dated capacity plan and an AI Governance Office review. Results are reviewed each quarter alongside manual competency check results (CTL-09) and blind re-review accuracy (CTL-07),Detective,Manual,Head of Credit Adjudication,Drill plan; throughput and quality results; capacity plan; quarterly review minutes,Annual,Internal Audit reviews the last two drill reports and confirms the 6-month cadence; confirms any result below 70 percent led to a capacity plan with dates; confirms drill results were reviewed at the following quarterly meeting,NIST GOVERN 3.2; MANAGE 2.4 | ISO 42001 Cl. 7.2; Annex A.9; Cl. 8.1 | EU AI Act Art. 14(4) (benchmark)
